Gender,forearm center of grip length,elbow wrist length,hand breadth,hand circumference,thumbbreadth estimated,radial estylion length,wrist circumference,forearm circumference flexed,forearm taper diff
Female,290,530,77,182,21٫56,221,146,252,106
Female,290,538,76,183,21٫28,220,147,262,115
Female,290,542,77,186,21٫56,221,155,270,115
Female,290,544,75,181,21,228,159,277,118
Female,290,545,80,191,22٫4,222,154,247,93
Female,290,546,76,184,21٫28,228,158,266,108
Female,290,553,79,192,22٫12,229,154,278,124
Female,291,529,73,187,20٫44,219,151,257,106
Female,291,535,72,175,20٫16,229,143,248,105
Female,291,535,82,196,22٫96,220,156,273,117
Female,291,536,74,174,20٫72,225,143,235,92
Female,291,542,75,175,21,228,157,284,127
Female,291,543,75,177,21,226,145,256,111
Female,291,544,78,188,21٫84,223,151,252,101
Female,292,531,74,180,20٫72,228,145,262,117
Female,292,533,74,175,20٫72,225,146,267,121
Female,292,534,78,187,21٫84,223,156,268,112
Female,292,542,75,186,21,220,154,264,110
Female,292,548,77,181,21٫56,224,152,259,107
Female,293,528,75,180,21,222,144,249,105
Female,293,542,75,177,21,220,150,254,104
Female,293,548,80,189,22٫4,226,146,256,110
Female,293,550,79,189,22٫12,224,156,257,101
Female,293,550,79,193,22٫12,226,157,261,104
Female,294,530,80,196,22٫4,226,156,275,119
Female,294,532,78,188,21٫84,220,144,242,98
Female,294,536,78,188,21٫84,223,150,246,96
Female,294,537,80,191,22٫4,222,158,257,99
Female,294,537,81,192,22٫68,221,154,270,116
Female,294,540,78,190,21٫84,224,156,283,127
Female,294,544,80,189,22٫4,222,146,250,104
Female,294,548,77,188,21٫56,227,152,255,103
Female,294,549,78,190,21٫84,227,150,264,114
Female,294,550,80,190,22٫4,222,159,268,109
Female,294,551,76,180,21٫28,220,158,276,118
Female,294,570,76,183,21٫28,238,143,245,102
Female,295,530,81,188,22٫68,226,154,257,103
Female,295,533,77,185,21٫56,221,150,256,106
Female,295,534,73,177,20٫44,219,150,250,100
Female,295,541,78,180,21٫84,229,148,240,92
Female,295,546,73,178,20٫44,228,154,267,113
Female,295,549,76,176,21٫28,232,145,238,93
Female,295,552,78,185,21٫84,229,156,246,90
Female,295,553,80,180,22٫4,232,149,250,101
Female,295,558,77,186,21٫56,228,152,246,94
Female,295,558,80,187,22٫4,227,151,251,100
Female,295,563,75,179,21,232,147,262,115
Female,295,566,74,186,20٫72,222,154,271,117
Female,296,531,72,173,20٫16,224,145,249,104
Female,296,534,74,176,20٫72,228,153,253,100
Female,296,536,75,187,21,222,154,286,132
Female,296,536,76,182,21٫28,219,153,249,96
Female,296,537,78,182,21٫84,224,149,275,126
Female,296,540,80,190,22٫4,226,152,249,97
Female,296,542,83,196,23٫24,232,154,273,119
Female,296,543,75,185,21,229,143,242,99
Female,296,544,73,173,20٫44,226,150,252,102
Female,296,544,75,177,21,222,147,238,91
Female,296,548,74,175,20٫72,229,152,258,106
Female,296,551,76,181,21٫28,232,146,247,101
Female,296,551,81,190,22٫68,226,153,280,127
Female,296,554,74,177,20٫72,228,154,257,103
Female,296,554,77,179,21٫56,232,147,242,95
Female,296,554,78,189,21٫84,231,151,272,121
Female,296,555,72,174,20٫16,233,145,239,94
Female,296,556,75,177,21,225,155,257,102
Female,296,557,80,188,22٫4,218,157,250,93
Female,296,558,76,177,21٫28,229,154,278,124
Female,296,569,80,187,22٫4,236,150,256,106
Female,296,570,75,183,21,237,148,255,107
Female,297,529,76,179,21٫28,230,159,260,101
Female,297,530,78,182,21٫84,222,154,255,101
Female,297,536,77,178,21٫56,221,146,245,99
Female,297,537,78,192,21٫84,218,155,244,89
Female,297,549,78,182,21٫84,235,145,237,92
Female,297,556,76,179,21٫28,223,145,255,110
Female,297,558,73,177,20٫44,225,153,249,96
Female,297,559,77,187,21٫56,228,151,258,107
Female,297,560,77,177,21٫56,232,158,257,99
Female,297,564,74,188,20٫72,226,154,253,99
Female,297,570,81,192,22٫68,227,161,280,119
Female,298,531,78,185,21٫84,219,147,252,105
Female,298,532,76,179,21٫28,222,146,260,114
Female,298,533,76,178,21٫28,222,146,238,92
Female,298,540,77,180,21٫56,230,150,263,113
Female,298,540,77,183,21٫56,235,156,276,120
Female,298,541,72,177,20٫16,231,144,245,101
Female,298,544,77,179,21٫56,229,148,253,105
Female,298,545,76,183,21٫28,232,153,245,92
Female,298,546,78,186,21٫84,223,154,261,107
Female,298,549,84,195,23٫52,231,154,254,100
Female,298,552,77,179,21٫56,228,159,261,102
Female,298,553,75,180,21,228,154,260,106
Female,298,556,75,177,21,232,158,278,120
Female,298,562,77,179,21٫56,229,147,260,113
Female,298,563,78,183,21٫84,223,163,278,115
Female,298,564,80,189,22٫4,232,158,257,99
Female,298,573,77,183,21٫56,239,149,251,102
Female,298,574,77,180,21٫56,240,145,246,101
Female,299,537,76,179,21٫28,222,152,249,97
Female,299,542,79,184,22٫12,227,151,254,103
Female,299,546,78,189,21٫84,222,154,272,118
Female,299,549,79,187,22٫12,230,147,263,116
Female,299,549,80,194,22٫4,238,161,272,111
Female,299,558,75,180,21,231,144,248,104
Female,299,567,78,185,21٫84,235,153,270,117
Female,299,576,77,187,21٫56,235,155,263,108
Female,299,581,80,190,22٫4,233,152,250,98
Female,300,533,82,192,22٫96,222,155,258,103
Female,300,534,77,185,21٫56,218,152,265,113
Female,300,542,74,179,20٫72,235,144,250,106
Female,300,542,75,178,21,223,153,248,95
Female,300,542,77,192,21٫56,221,160,261,101
Female,300,542,81,193,22٫68,228,152,253,101
Female,300,543,75,181,21,223,158,275,117
Female,300,546,74,183,20٫72,232,147,250,103
Female,300,546,77,180,21٫56,221,147,246,99
Female,300,548,72,174,20٫16,226,148,261,113
Female,300,550,76,177,21٫28,224,152,252,100
Female,300,553,77,180,21٫56,234,146,260,114
Female,300,553,79,189,22٫12,229,154,249,95
Female,300,555,72,173,20٫16,231,145,254,109
Female,300,555,75,183,21,219,147,254,107
Female,300,556,76,190,21٫28,232,150,255,105
Female,300,561,76,179,21٫28,229,148,282,134
Female,300,561,79,183,22٫12,233,157,260,103
Female,300,562,76,182,21٫28,238,147,268,121
Female,300,578,75,178,21,233,151,272,121
Female,301,532,76,182,21٫28,225,153,267,114
Female,301,536,79,184,22٫12,223,154,269,115
Female,301,544,78,180,21٫84,226,148,241,93
Female,301,544,80,197,22٫4,232,157,265,108
Female,301,546,79,194,22٫12,234,146,242,96
Female,301,546,82,192,22٫96,223,157,257,100
Female,301,548,78,192,21٫84,234,154,248,94
Female,301,551,75,177,21,231,153,269,116
Female,301,551,77,183,21٫56,228,147,258,111
Female,301,551,80,187,22٫4,225,153,255,102
Female,301,553,77,183,21٫56,229,155,271,116
Female,301,553,80,182,22٫4,232,152,268,116
Female,301,554,74,175,20٫72,225,146,245,99
Female,301,554,75,186,21,224,158,273,115
