Gender,forearmcenterofgriplength,elbow_wrist_length,handbreadth,handcircumference,thumbbreadth_estimated,radialestylionlength,wristcircumference,forearmcircumferenceflexed,forearm_taper_diff
Male,320,585,81,198,22٫68,246,164,290,126
Male,320,588,91,218,25٫48,250,170,288,118
Male,320,590,88,210,24٫64,246,170,278,108
Male,320,597,87,210,24٫36,253,164,291,127
Male,320,600,82,201,22٫96,252,168,290,122
Male,320,602,88,212,24٫64,248,165,312,147
Male,320,604,83,200,23٫24,254,166,290,124
Male,320,606,84,214,23٫52,252,175,323,148
Male,320,610,96,227,26٫88,255,187,319,132
Male,320,611,88,210,24٫64,252,170,292,122
Male,320,615,91,218,25٫48,254,172,294,122
Male,320,624,95,225,26٫6,258,180,293,113
Male,321,583,85,200,23٫8,246,163,298,135
Male,321,585,89,216,24٫92,248,167,305,138
Male,321,586,84,206,23٫52,244,171,309,138
Male,321,588,83,202,23٫24,249,170,294,124
Male,321,588,85,206,23٫8,250,167,282,115
Male,321,589,86,206,24٫08,253,171,293,122
Male,321,589,87,208,24٫36,246,164,280,116
Male,321,589,87,216,24٫36,247,174,314,140
Male,321,590,84,204,23٫52,246,165,284,119
Male,321,600,81,198,22٫68,250,165,291,126
Male,321,601,90,217,25٫2,247,175,307,132
Male,321,604,84,207,23٫52,244,174,301,127
Male,321,625,89,212,24٫92,254,170,311,141
Male,322,584,84,197,23٫52,245,169,309,140
Male,322,585,86,211,24٫08,251,172,315,143
Male,322,585,89,214,24٫92,245,165,296,131
Male,322,588,87,206,24٫36,254,171,293,122
Male,322,589,86,210,24٫08,248,173,313,140
Male,322,590,85,205,23٫8,250,170,280,110
Male,322,590,86,201,24٫08,244,162,290,128
Male,322,597,91,217,25٫48,246,167,298,131
Male,322,597,91,225,25٫48,248,187,336,149
Male,322,599,83,197,23٫24,254,167,301,134
Male,322,602,83,200,23٫24,249,170,301,131
Male,322,610,86,213,24٫08,256,176,307,131
Male,322,612,92,218,25٫76,254,172,299,127
Male,322,616,84,205,23٫52,257,171,294,123
Male,323,587,81,197,22٫68,250,163,290,127
Male,323,589,88,208,24٫64,252,172,304,132
Male,323,589,88,210,24٫64,246,167,295,128
Male,323,590,81,196,22٫68,256,167,286,119
Male,323,598,93,223,26٫04,247,187,314,127
Male,323,600,87,208,24٫36,249,171,291,120
Male,323,600,88,211,24٫64,255,172,291,119
Male,323,602,88,206,24٫64,256,163,275,112
Male,323,603,87,208,24٫36,257,169,290,121
Male,323,605,84,211,23٫52,252,186,323,137
Male,323,605,92,217,25٫76,244,173,305,132
Male,323,606,82,198,22٫96,244,165,295,130
Male,323,607,90,213,25٫2,250,174,292,118
Male,323,610,86,207,24٫08,255,167,311,144
Male,323,615,86,205,24٫08,252,171,289,118
Male,324,581,83,199,23٫24,246,162,303,141
Male,324,584,83,197,23٫24,248,170,286,116
Male,324,584,85,207,23٫8,249,173,321,148
Male,324,584,93,216,26٫04,253,174,334,160
Male,324,588,94,222,26٫32,244,181,309,128
Male,324,590,81,200,22٫68,252,166,287,121
Male,324,592,86,206,24٫08,244,165,295,130
Male,324,595,88,210,24٫64,251,180,300,120
Male,324,599,86,209,24٫08,252,171,312,141
Male,324,599,94,223,26٫32,245,180,314,134
Male,324,600,95,223,26٫6,253,177,301,124
Male,324,603,87,207,24٫36,248,168,304,136
Male,324,604,87,216,24٫36,262,172,322,150
Male,324,604,92,214,25٫76,265,182,298,116
Male,324,605,85,204,23٫8,254,164,284,120
Male,324,606,84,206,23٫52,251,169,285,116
Male,324,606,87,206,24٫36,255,171,282,111
Male,324,612,86,205,24٫08,245,173,304,131
Male,324,612,90,213,25٫2,255,178,322,144
Male,324,633,91,215,25٫48,266,188,339,151
Male,325,583,89,211,24٫92,252,168,308,140
Male,325,586,90,217,25٫2,249,174,300,126
Male,325,588,83,202,23٫24,255,165,283,118
Male,325,589,83,202,23٫24,249,168,304,136
Male,325,590,81,197,22٫68,252,171,288,117
Male,325,595,89,218,24٫92,255,172,310,138
Male,325,597,86,206,24٫08,254,170,331,161
Male,325,598,87,211,24٫36,255,171,318,147
Male,325,602,89,215,24٫92,253,183,310,127
Male,325,602,90,218,25٫2,254,168,299,131
Male,325,603,90,211,25٫2,252,172,313,141
Male,325,603,90,215,25٫2,248,164,312,148
Male,325,604,84,207,23٫52,261,174,288,114
Male,325,611,82,206,22٫96,255,172,318,146
Male,325,613,88,209,24٫64,257,166,301,135
Male,325,616,85,198,23٫8,259,167,293,126
Male,325,619,89,211,24٫92,265,162,283,121
Male,325,620,87,208,24٫36,253,167,302,135
Male,325,622,89,217,24٫92,263,163,275,112
Male,326,581,82,195,22٫96,250,162,304,142
Male,326,581,86,207,24٫08,245,177,337,160
Male,326,583,90,214,25٫2,256,179,300,121
Male,326,585,85,207,23٫8,247,167,307,140
Male,326,587,82,198,22٫96,248,170,292,122
Male,326,590,84,203,23٫52,251,162,296,134
Male,326,592,88,210,24٫64,248,175,287,112
Male,326,595,85,202,23٫8,252,170,308,138
Male,326,596,81,206,22٫68,257,169,317,148
Male,326,597,85,202,23٫8,255,167,286,119
Male,326,599,89,209,24٫92,253,167,320,153
Male,326,600,86,205,24٫08,250,179,311,132
Male,326,602,85,202,23٫8,256,170,302,132
Male,326,603,90,208,25٫2,254,177,288,111
Male,326,603,93,220,26٫04,252,178,328,150
Male,326,604,89,215,24٫92,251,175,312,137
Male,326,608,87,205,24٫36,262,169,303,134
Male,326,609,84,207,23٫52,251,180,314,134
Male,326,609,86,208,24٫08,247,165,279,114
Male,326,613,87,214,24٫36,257,187,345,158
Male,326,616,85,202,23٫8,253,170,309,139
Male,327,583,84,211,23٫52,247,173,332,159
Male,327,583,95,227,26٫6,247,185,343,158
Male,327,586,84,204,23٫52,248,173,302,129
Male,327,588,86,209,24٫08,251,177,309,132
Male,327,591,88,207,24٫64,244,169,284,115
Male,327,592,82,200,22٫96,248,178,333,155
Male,327,592,88,210,24٫64,251,175,330,155
Male,327,592,88,221,24٫64,246,183,322,139
Male,327,593,86,204,24٫08,252,173,303,130
Male,327,593,90,216,25٫2,246,174,310,136
Male,327,594,81,202,22٫68,247,168,297,129
Male,327,594,86,210,24٫08,252,183,292,109
Male,327,595,83,204,23٫24,251,164,285,121
Male,327,595,84,202,23٫52,253,178,310,132
Male,327,595,90,213,25٫2,249,174,316,142
Male,327,595,90,216,25٫2,246,181,320,139
Male,327,597,86,204,24٫08,247,164,310,146
Male,327,599,86,206,24٫08,259,173,303,130
Male,327,599,88,210,24٫64,253,171,299,128
Male,327,600,87,204,24٫36,249,177,291,114
Male,327,600,90,218,25٫2,252,178,315,137
Male,327,600,91,221,25٫48,259,174,331,157
Male,327,602,90,213,25٫2,245,167,318,151
Male,327,603,84,197,23٫52,258,163,288,125
Male,327,603,96,226,26٫88,250,182,317,135
Male,327,604,88,214,24٫64,250,182,334,152
Male,327,604,92,222,25٫76,269,178,338,160
Male,327,605,85,206,23٫8,247,171,300,129
Male,327,606,82,206,22٫96,250,167,297,130
Male,327,606,88,209,24٫64,259,175,318,143
Male,327,609,86,207,24٫08,258,173,302,129
Male,327,615,89,211,24٫92,258,187,326,139
Male,327,616,85,199,23٫8,262,173,320,147
Male,327,616,87,213,24٫36,253,177,300,123
Male,327,617,82,201,22٫96,262,162,287,125
Male,327,637,90,217,25٫2,276,180,323,143
Male,327,645,93,222,26٫04,263,177,327,150
Male,328,582,87,213,24٫36,246,174,310,136
Male,328,589,86,209,24٫08,250,164,320,156
Male,328,590,83,204,23٫24,248,170,292,122
Male,328,590,86,208,24٫08,245,172,311,139
Male,328,591,87,211,24٫36,257,174,304,130
Male,328,592,90,206,25٫2,261,164,291,127
Male,328,593,82,198,22٫96,249,172,298,126
Male,328,593,84,203,23٫52,249,178,303,125
Male,328,593,87,213,24٫36,245,168,297,129
Male,328,595,90,213,25٫2,248,171,291,120
Male,328,596,85,208,23٫8,255,174,315,141
Male,328,598,87,205,24٫36,249,170,322,152
Male,328,598,88,214,24٫64,254,173,298,125
Male,328,600,81,203,22٫68,251,177,312,135
Male,328,600,82,202,22٫96,255,165,294,129
Male,328,601,87,212,24٫36,254,170,320,150
Male,328,603,85,203,23٫8,257,170,282,112
Male,328,604,84,204,23٫52,246,174,323,149
Male,328,604,90,215,25٫2,257,176,300,124
Male,328,605,84,206,23٫52,256,166,303,137
Male,328,610,89,215,24٫92,252,168,303,135
Male,328,613,87,208,24٫36,250,184,325,141
Male,328,614,87,202,24٫36,261,170,280,110
Male,328,616,89,214,24٫92,250,168,293,125
Male,328,617,85,201,23٫8,264,171,281,110
Male,328,623,88,211,24٫64,268,184,344,160
Male,328,637,82,202,22٫96,274,168,286,118
Male,329,581,87,217,24٫36,247,180,310,130
Male,329,582,85,202,23٫8,251,175,303,128
Male,329,587,86,204,24٫08,246,180,297,117
Male,329,587,87,208,24٫36,245,172,301,129
Male,329,594,85,199,23٫8,250,162,281,119
Male,329,595,85,202,23٫8,261,166,298,132
Male,329,596,81,198,22٫68,252,171,295,124
Male,329,596,85,202,23٫8,253,171,310,139
Male,329,596,88,210,24٫64,245,181,337,156
Male,329,596,90,212,25٫2,246,183,322,139
Male,329,599,83,200,23٫24,261,164,297,133
Male,329,600,85,206,23٫8,251,177,313,136
Male,329,600,85,209,23٫8,250,168,280,112
Male,329,600,88,209,24٫64,249,183,336,153
Male,329,602,86,205,24٫08,258,170,285,115
Male,329,603,90,216,25٫2,246,178,332,154
Male,329,604,93,223,26٫04,250,182,326,144
Male,329,607,94,223,26٫32,260,190,337,147
Male,329,609,89,216,24٫92,259,176,318,142
Male,329,611,84,201,23٫52,251,164,285,121
Male,329,616,87,212,24٫36,252,173,298,125
Male,329,616,90,213,25٫2,262,167,310,143
Male,329,620,94,225,26٫32,257,179,309,130
Male,329,622,85,200,23٫8,262,167,294,127
Male,329,640,89,213,24٫92,273,171,290,119
Male,330,581,87,203,24٫36,244,168,291,123
Male,330,584,94,225,26٫32,252,181,320,139
Male,330,585,82,197,22٫96,251,163,281,118
Male,330,585,91,213,25٫48,246,173,318,145
Male,330,585,92,223,25٫76,251,182,321,139
Male,330,587,88,213,24٫64,250,176,308,132
Male,330,591,87,208,24٫36,244,170,311,141
Male,330,595,86,210,24٫08,245,175,305,130
Male,330,596,87,208,24٫36,258,173,310,137
Male,330,599,82,199,22٫96,246,164,275,111
Male,330,600,86,206,24٫08,259,169,327,158
Male,330,602,87,212,24٫36,251,169,308,139
Male,330,603,87,212,24٫36,258,175,297,122
Male,330,603,89,211,24٫92,249,175,315,140
Male,330,604,83,200,23٫24,257,167,315,148
Male,330,604,86,203,24٫08,251,168,305,137
Male,330,604,91,219,25٫48,247,179,315,136
Male,330,604,93,218,26٫04,250,178,316,138
Male,330,605,82,195,22٫96,261,169,287,118
Male,330,606,83,203,23٫24,264,164,278,114
Male,330,606,85,209,23٫8,254,170,307,137
Male,330,606,86,208,24٫08,257,176,314,138
Male,330,606,87,207,24٫36,255,173,297,124
Male,330,607,92,227,25٫76,256,190,332,142
Male,330,608,87,211,24٫36,250,174,310,136
Male,330,609,88,212,24٫64,262,174,312,138
Male,330,610,90,212,25٫2,259,176,331,155
Male,330,610,91,221,25٫48,253,180,295,115
Male,330,611,86,207,24٫08,252,172,297,125
Male,330,611,89,213,24٫92,254,183,300,117
Male,330,611,89,213,24٫92,257,189,330,141
Male,330,617,90,215,25٫2,261,178,305,127
Male,330,618,81,200,22٫68,260,164,291,127
Male,330,620,81,196,22٫68,260,168,305,137
Male,330,621,87,209,24٫36,260,178,315,137
Male,330,621,90,216,25٫2,259,177,319,142
Male,330,622,92,225,25٫76,260,180,315,135
Male,330,623,92,216,25٫76,260,174,311,137
Male,330,629,87,210,24٫36,266,169,304,135
Male,330,630,85,205,23٫8,262,168,293,125
Male,330,637,88,214,24٫64,254,176,325,149
Male,330,638,89,211,24٫92,268,170,280,110
Male,331,582,85,204,23٫8,244,176,293,117
Male,331,583,81,206,22٫68,248,171,328,157
Male,331,583,87,207,24٫36,247,185,318,133
Male,331,584,86,212,24٫08,249,168,300,132
Male,331,586,87,211,24٫36,247,174,298,124
Male,331,586,88,206,24٫64,254,172,299,127
Male,331,588,87,208,24٫36,251,174,315,141
Male,331,589,87,212,24٫36,244,175,296,121
Male,331,589,88,212,24٫64,248,169,283,114
Male,331,590,88,216,24٫64,244,184,333,149
Male,331,592,89,215,24٫92,251,176,320,144
Male,331,593,84,207,23٫52,247,172,305,133
Male,331,593,90,223,25٫2,248,181,324,143
Male,331,594,84,197,23٫52,260,167,295,128
Male,331,595,87,208,24٫36,248,174,308,134
Male,331,595,88,210,24٫64,262,176,323,147
Male,331,597,81,196,22٫68,253,162,277,115
Male,331,597,84,207,23٫52,247,167,281,114
Male,331,597,87,210,24٫36,252,176,320,144
Male,331,598,85,200,23٫8,252,170,302,132
Male,331,598,87,208,24٫36,254,170,307,137
Male,331,600,88,216,24٫64,246,175,324,149
Male,331,600,91,215,25٫48,249,183,332,149
Male,331,601,83,198,23٫24,251,167,289,122
Male,331,602,86,200,24٫08,256,169,323,154
Male,331,602,91,216,25٫48,248,186,312,126
Male,331,603,85,202,23٫8,254,174,324,150
Male,331,603,87,208,24٫36,258,176,291,115
Male,331,607,84,201,23٫52,266,163,308,145
Male,331,607,85,201,23٫8,248,172,325,153
Male,331,608,90,216,25٫2,259,166,315,149
Male,331,610,84,201,23٫52,254,167,293,126
Male,331,611,92,218,25٫76,265,182,337,155
Male,331,614,84,200,23٫52,257,165,293,128
Male,331,614,89,222,24٫92,257,166,303,137
Male,331,615,84,204,23٫52,258,168,312,144
Male,331,616,81,195,22٫68,255,166,291,125
Male,331,616,82,199,22٫96,260,165,320,155
Male,331,616,86,207,24٫08,270,166,304,138
Male,331,618,85,205,23٫8,266,174,285,111
Male,331,618,87,212,24٫36,259,181,308,127
Male,331,618,95,226,26٫6,259,189,324,135
Male,331,619,84,202,23٫52,257,165,292,127
Male,331,620,87,208,24٫36,256,180,320,140
Male,331,622,89,210,24٫92,255,176,311,135
Male,331,623,82,200,22٫96,260,172,308,136
Male,331,624,88,210,24٫64,260,168,308,140
Male,331,626,90,214,25٫2,262,177,312,135
Male,331,627,87,203,24٫36,261,173,308,135
Male,331,628,85,207,23٫8,260,181,327,146
Male,332,581,91,219,25٫48,250,173,291,118
Male,332,587,85,201,23٫8,254,169,304,135
Male,332,588,89,218,24٫92,251,186,304,118
Male,332,590,88,205,24٫64,250,163,301,138
Male,332,592,94,223,26٫32,249,184,329,145
Male,332,597,91,214,25٫48,255,164,275,111
Male,332,600,83,199,23٫24,248,171,289,118
Male,332,601,88,218,24٫64,252,172,303,131
Male,332,603,85,209,23٫8,257,171,292,121
Male,332,605,84,205,23٫52,251,175,323,148
Male,332,608,87,215,24٫36,255,178,317,139
Male,332,608,88,210,24٫64,255,166,276,110
Male,332,608,90,210,25٫2,267,180,334,154
Male,332,610,81,200,22٫68,254,169,301,132
Male,332,610,82,203,22٫96,255,171,314,143
Male,332,610,87,210,24٫36,264,166,275,109
Male,332,610,88,212,24٫64,263,175,312,137
Male,332,612,87,208,24٫36,253,167,295,128
Male,332,613,84,197,23٫52,252,170,310,140
Male,332,613,87,217,24٫36,253,174,308,134
Male,332,614,85,203,23٫8,257,174,312,138
Male,332,616,88,208,24٫64,256,178,332,154
Male,332,618,90,210,25٫2,260,175,305,130
Male,332,621,85,205,23٫8,266,163,287,124
Male,332,621,87,211,24٫36,259,166,286,120
Male,332,621,87,211,24٫36,266,181,298,117
Male,332,622,87,211,24٫36,258,169,296,127
Male,332,623,90,213,25٫2,256,171,305,134
Male,332,624,87,212,24٫36,258,177,291,114
Male,332,625,90,212,25٫2,267,166,302,136
Male,332,626,85,205,23٫8,265,173,288,115
Male,332,628,88,207,24٫64,263,168,295,127
Male,332,629,85,201,23٫8,257,175,302,127
Male,332,629,87,211,24٫36,253,178,317,139
Male,332,635,83,197,23٫24,265,169,282,113
Male,332,636,84,198,23٫52,265,168,278,110
Male,333,582,87,215,24٫36,256,177,321,144
Male,333,586,93,219,26٫04,248,179,315,136
Male,333,588,89,213,24٫92,244,180,298,118
Male,333,588,93,220,26٫04,253,180,336,156
Male,333,589,84,204,23٫52,249,170,313,143
Male,333,591,87,204,24٫36,246,165,295,130
Male,333,592,88,212,24٫64,251,168,283,115
Male,333,595,90,214,25٫2,257,172,317,145
Male,333,596,86,214,24٫08,250,172,323,151
Male,333,599,89,211,24٫92,253,180,306,126
Male,333,599,90,216,25٫2,260,179,302,123
Male,333,600,87,207,24٫36,250,174,302,128
Male,333,601,88,215,24٫64,258,177,310,133
Male,333,601,90,213,25٫2,256,178,308,130
Male,333,604,81,201,22٫68,254,167,301,134
Male,333,604,88,214,24٫64,258,178,300,122
Male,333,605,86,210,24٫08,259,172,300,128
Male,333,605,93,218,26٫04,256,173,314,141
Male,333,607,87,213,24٫36,260,175,299,124
Male,333,608,85,204,23٫8,254,180,308,128
Male,333,608,94,227,26٫32,264,176,331,155
Male,333,609,87,206,24٫36,258,173,295,122
Male,333,609,92,224,25٫76,252,181,333,152
Male,333,610,84,201,23٫52,257,168,278,110
Male,333,611,90,212,25٫2,258,177,306,129
Male,333,612,84,207,23٫52,260,167,291,124
Male,333,612,86,213,24٫08,261,173,306,133
Male,333,612,88,212,24٫64,257,165,297,132
Male,333,613,87,206,24٫36,255,177,332,155
Male,333,613,88,217,24٫64,254,171,292,121
Male,333,615,82,202,22٫96,260,168,304,136
Male,333,615,86,206,24٫08,250,166,285,119
Male,333,615,87,203,24٫36,263,170,328,158
Male,333,615,92,225,25٫76,267,179,307,128
Male,333,617,85,208,23٫8,266,171,304,133
Male,333,618,88,213,24٫64,267,176,293,117
Male,333,618,90,219,25٫2,263,180,319,139
Male,333,619,88,216,24٫64,257,174,299,125
Male,333,619,90,215,25٫2,257,172,313,141
Male,333,621,84,210,23٫52,259,165,293,128
Male,333,622,86,205,24٫08,266,170,301,131
Male,333,623,93,223,26٫04,260,187,332,145
Male,333,625,84,197,23٫52,258,169,306,137
Male,333,625,87,205,24٫36,262,163,283,120
Male,333,626,92,220,25٫76,272,191,315,124
Male,333,627,86,201,24٫08,271,168,305,137
Male,333,628,89,217,24٫92,259,174,312,138
Male,333,633,86,203,24٫08,270,164,280,116
Male,333,638,86,204,24٫08,264,170,296,126
Male,334,582,85,217,23٫8,257,173,293,120
Male,334,584,83,208,23٫24,246,170,316,146
Male,334,584,84,200,23٫52,250,174,306,132
Male,334,589,84,200,23٫52,255,165,300,135
Male,334,591,86,203,24٫08,246,164,280,116
Male,334,591,90,210,25٫2,244,166,302,136
Male,334,597,91,219,25٫48,255,178,305,127
Male,334,599,93,221,26٫04,249,172,317,145
Male,334,600,87,207,24٫36,260,172,306,134
Male,334,600,87,208,24٫36,264,170,285,115
Male,334,603,89,214,24٫92,252,191,327,136
Male,334,605,83,203,23٫24,263,173,313,140
Male,334,605,84,203,23٫52,263,165,314,149
Male,334,605,85,198,23٫8,254,176,303,127
Male,334,605,87,207,24٫36,250,173,295,122
Male,334,605,90,215,25٫2,257,174,319,145
Male,334,606,84,202,23٫52,259,167,296,129
Male,334,606,89,212,24٫92,265,176,303,127
Male,334,606,90,210,25٫2,248,184,314,130
Male,334,606,90,213,25٫2,251,173,329,156
Male,334,608,88,212,24٫64,253,177,290,113
Male,334,608,92,217,25٫76,251,173,297,124
Male,334,608,93,222,26٫04,256,175,317,142
Male,334,610,91,219,25٫48,269,174,302,128
Male,334,611,88,203,24٫64,251,184,319,135
Male,334,611,89,217,24٫92,256,172,334,162
Male,334,611,90,209,25٫2,259,170,302,132
Male,334,612,85,211,23٫8,252,178,295,117
Male,334,612,90,211,25٫2,265,179,326,147
Male,334,613,90,211,25٫2,254,174,292,118
Male,334,614,83,201,23٫24,258,168,285,117
Male,334,614,85,213,23٫8,261,173,287,114
Male,334,615,81,203,22٫68,248,169,298,129
Male,334,615,84,204,23٫52,259,170,290,120
Male,334,615,85,205,23٫8,257,176,296,120
Male,334,617,83,196,23٫24,264,166,298,132
Male,334,619,81,198,22٫68,254,164,293,129
Male,334,622,84,207,23٫52,257,169,292,123
Male,334,623,89,206,24٫92,264,164,296,132
Male,334,623,90,209,25٫2,251,182,295,113
Male,334,624,83,198,23٫24,263,174,285,111
Male,334,625,86,214,24٫08,261,173,331,158
Male,334,625,92,221,25٫76,249,177,317,140
Male,334,625,93,228,26٫04,253,187,325,138
Male,334,629,88,211,24٫64,266,173,295,122
Male,334,631,90,217,25٫2,263,180,325,145
Male,334,632,91,218,25٫48,263,168,289,121
Male,334,633,82,202,22٫96,263,176,294,118
Male,334,635,88,212,24٫64,269,176,292,116
Male,334,646,86,202,24٫08,268,165,286,121
Male,335,581,91,217,25٫48,251,178,329,151
Male,335,586,85,204,23٫8,246,175,296,121
Male,335,589,85,215,23٫8,252,173,315,142
Male,335,596,93,222,26٫04,251,181,319,138
